# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
5.387,1.2,,,,375.69,0.02,1.66,1.68,0.04,279.05,856.18,"1,951.57",146.06,114.61,1.46,1.15,0.20,312.69,49.92,"4,391.79",0.01,,0.059,67.137
5.427,1.2,,,,409.93,0.02,1.28,1.30,0.03,278.97,854.86,"1,951.57",146.06,114.60,1.46,1.15,0.20,310.69,49.93,"4,391.00",0.01,,0.042,67.137
5.487,1.2,,,,393.49,0.02,1.63,1.64,0.04,278.85,852.90,"1,951.57",145.97,114.60,1.46,1.15,0.20,307.68,49.71,"4,390.14",0.01,,0.056,67.137
5.543,1.2,,,,371.28,0.02,0.08,0.10,0.00,278.74,851.07,"1,951.57",146.01,114.59,1.46,1.15,0.19,304.82,50.36,"4,389.70",0.00,,0.003,67.137
5.628,1.2,,,,414.81,0.02,1.23,1.24,0.03,278.57,848.35,"1,951.57",145.85,114.59,1.46,1.15,0.19,300.45,50.98,"4,389.03",0.01,,0.041,67.137
5.685,1.2,,,,427.90,0.02,0.52,0.54,0.01,278.46,846.53,"1,951.57",145.84,114.59,1.46,1.15,0.19,297.45,51.89,"4,388.58",0.00,,0.017,67.137
5.771,1.2,,,,363.28,0.02,1.35,1.37,0.03,278.30,843.92,"1,951.57",145.69,114.59,1.46,1.15,0.19,292.99,50.97,"4,388.58",0.01,,0.053,67.137
5.871,1.2,,,,398.76,0.02,1.49,1.50,0.03,278.11,840.98,"1,951.57",145.59,114.59,1.46,1.15,0.18,288.00,49.03,"4,388.58",0.01,,0.054,67.137
5.971,1.2,,,,372.26,0.02,0.81,0.83,0.02,277.92,838.10,"1,951.57",145.55,114.59,1.46,1.15,0.18,283.18,47.27,"4,388.58",0.01,,0.032,67.137
6.071,1.2,,,,387.16,0.02,1.42,1.44,0.03,277.74,835.26,"1,951.57",145.42,114.59,1.45,1.15,0.18,278.54,45.65,"4,388.58",0.01,,0.055,67.137
